Year,Geography,Pattype,Category,Cat_value,Dxgroup,Count,Total,Percent
2022,Statewide,Inpatient,Funding Source,Private Health Insurance,Mental Health Disorders,132083,1018071,0.129738496
2022,Statewide,Inpatient,Funding Source,Private Health Insurance,Substance Use Disorders,41052,1018071,0.040323317
2022,Statewide,Inpatient,Funding Source,Self-Pay or Uninsured,All Other Diagnoses,40903,57500,0.711356522
2022,Statewide,Inpatient,Funding Source,Self-Pay or Uninsured,Co-Occuring Disorders,4418,57500,0.076834783
2022,Statewide,Inpatient,Funding Source,Self-Pay or Uninsured,Mental Health Disorders,4767,57500,0.082904348
2022,Statewide,Inpatient,Funding Source,Self-Pay or Uninsured,Substance Use Disorders,7412,57500,0.128904348
2022,Statewide,Inpatient,Race,American Indian/Alaska Native,All Other Diagnoses,6426,10604,0.605997737
2022,Statewide,Inpatient,Race,American Indian/Alaska Native,Co-Occuring Disorders,1154,10604,0.108826858
2022,Statewide,Inpatient,Race,American Indian/Alaska Native,Mental Health Disorders,1778,10604,0.167672576
2022,Statewide,Inpatient,Race,American Indian/Alaska Native,Substance Use Disorders,1246,10604,0.117502829
2022,Statewide,Inpatient,Race,Asian,All Other Diagnoses,284439,330786,0.859888266
2022,Statewide,Inpatient,Race,Asian,Co-Occuring Disorders,5580,330786,0.016868912
2022,Statewide,Inpatient,Race,Asian,Mental Health Disorders,33497,330786,0.101264866
2022,Statewide,Inpatient,Race,Asian,Substance Use Disorders,7270,330786,0.021977956
2022,Statewide,Inpatient,Race,Black,All Other Diagnoses,185210,297185,0.623214496
2022,Statewide,Inpatient,Race,Black,Co-Occuring Disorders,30566,297185,0.102851759
2022,Statewide,Inpatient,Race,Black,Mental Health Disorders,50340,297185,0.169389438
2022,Statewide,Inpatient,Race,Black,Substance Use Disorders,31069,297185,0.104544307
2022,Statewide,Inpatient,Race,Hispanic,All Other Diagnoses,953076,1239016,0.769220091
2022,Statewide,Inpatient,Race,Hispanic,Co-Occuring Disorders,62110,1239016,0.050128489
2022,Statewide,Inpatient,Race,Hispanic,Mental Health Disorders,138390,1239016,0.111693473
2022,Statewide,Inpatient,Race,Hispanic,Substance Use Disorders,85440,1239016,0.068957947
2022,Statewide,Inpatient,Race,Multiracial,All Other Diagnoses,29161,42543,0.685447665
2022,Statewide,Inpatient,Race,Multiracial,Co-Occuring Disorders,3469,42543,0.081541029
2022,Statewide,Inpatient,Race,Multiracial,Mental Health Disorders,6910,42543,0.162423901
2022,Statewide,Inpatient,Race,Multiracial,Substance Use Disorders,3003,42543,0.070587406
2022,Statewide,Inpatient,Race,Native Hawaiian or Other Pacific Islande,All Other Diagnoses,17382,21175,0.820873672
2022,Statewide,Inpatient,Race,Native Hawaiian or Other Pacific Islande,Co-Occuring Disorders,609,21175,0.028760331
2022,Statewide,Inpatient,Race,Native Hawaiian or Other Pacific Islande,Mental Health Disorders,2241,21175,0.10583235
2022,Statewide,Inpatient,Race,Native Hawaiian or Other Pacific Islande,Substance Use Disorders,943,21175,0.044533648
2022,Statewide,Inpatient,Race,Other Race,All Other Diagnoses,127604,180278,0.707817926
2022,Statewide,Inpatient,Race,Other Race,Co-Occuring Disorders,12699,180278,0.070441208
2022,Statewide,Inpatient,Race,Other Race,Mental Health Disorders,29357,180278,0.162842943
2022,Statewide,Inpatient,Race,Other Race,Substance Use Disorders,10618,180278,0.058897924
2022,Statewide,Inpatient,Race,Unknown/Invalid,All Other Diagnoses,27528,38623,0.712735935
2022,Statewide,Inpatient,Race,Unknown/Invalid,Co-Occuring Disorders,2890,38623,0.074825881
2022,Statewide,Inpatient,Race,Unknown/Invalid,Mental Health Disorders,5739,38623,0.148590218
2022,Statewide,Inpatient,Race,Unknown/Invalid,Substance Use Disorders,2466,38623,0.063847966
2022,Statewide,Inpatient,Race,White,All Other Diagnoses,929481,1443211,0.644036804
2022,Statewide,Inpatient,Race,White,Co-Occuring Disorders,116691,1443211,0.080855121
2022,Statewide,Inpatient,Race,White,Mental Health Disorders,290094,1443211,0.201005951
2022,Statewide,Inpatient,Race,White,Substance Use Disorders,106945,1443211,0.074102124
2022,Statewide,Inpatient,Age,0 to 18,All Other Diagnoses,577160,626398,0.921395024
2022,Statewide,Inpatient,Age,0 to 18,Co-Occuring Disorders,10608,626398,0.01693492
2022,Statewide,Inpatient,Age,0 to 18,Mental Health Disorders,36220,626398,0.057822662
2022,Statewide,Inpatient,Age,0 to 18,Substance Use Disorders,2410,626398,0.003847394
2022,Statewide,Inpatient,Age,19 to 39,All Other Diagnoses,535085,796837,0.671511238
2022,Statewide,Inpatient,Age,19 to 39,Co-Occuring Disorders,87844,796837,0.110240865
2022,Statewide,Inpatient,Age,19 to 39,Mental Health Disorders,113776,796837,0.142784534
2022,Statewide,Inpatient,Age,19 to 39,Substance Use Disorders,60132,796837,0.075463363
2022,Statewide,Inpatient,Age,40 to 59,All Other Diagnoses,366421,661927,0.553567085
2022,Statewide,Inpatient,Age,40 to 59,Co-Occuring Disorders,82079,661927,0.124000079
2022,Statewide,Inpatient,Age,40 to 59,Mental Health Disorders,117136,661927,0.176962112
2022,Statewide,Inpatient,Age,40 to 59,Substance Use Disorders,96291,661927,0.145470724
2022,Statewide,Inpatient,Age,60+,All Other Diagnoses,1081530,1518063,0.712440788
2022,Statewide,Inpatient,Age,60+,Co-Occuring Disorders,55207,1518063,0.036366738
2022,Statewide,Inpatient,Age,60+,Mental Health Disorders,291204,1518063,0.191826031
2022,Statewide,Inpatient,Age,60+,Substance Use Disorders,90122,1518063,0.059366443
2022,Statewide,Inpatient,MH Category,All MBD Discharges,Mood disorders,472080,,
2022,Statewide,Inpatient,MH Category,All MBD Discharges,Anxiety disorders,367889,,
